36	40	64	96	156	180	252	416	536	680	772	968	1136	1296	1592	1772	2268	2808	3224	3928	4640	5336	6152	6916	7600	8048	8632	8376	8476	8180	7492	6716	5908	5156	4300	3512	2880	2488	2160	2048	2084	2088	2256	2476	2724	2956	3240	3412	3492	4032	4276	4392	4560	4692	4980	5176	5316	5368	5544	5656	5628	5676	5620	5480	5540	5400	5400	5316	5168	5144	5048	4936	4868	4928	4832	5012	5036	5156	5212	5352	5480	5588	5888	6008	6464	6748	6924	7388	7744	8296	8588	8944	9384	9808	10196	10728	10888	11324	11992	12324	12600	12868	13480	13792	14032	14300	14544	14880	15236	15436	15344	15580	15648	15856	15820	15876	15764	15700	15888	15600	15532	15288	15280	15012	14992	14664	14368	14248	13912	13768	13252	13204	12760	12548	11964	11772	11416	11100	10868	10356	10000	9428	9252	8992	8688	8184	8096	7776	7448	7240	6932	6524	6332	6048	5768	5496	5220	5052	4800	4560	4540	4120	4052	3872	3768	3568	3360	3184	3076	3008	2912	2664	2652	2456	2376	2248	2224	2108	2072	1976	1856	1740	1824	1720	1628	1616	1580	1416	1412	1380	1312	1380	1264	1256	1188	1120	1140	1160	1092	1012
36	32	60	84	136	208	280	320	464	600	712	828	1036	1224	1484	1736	2088	2604	3152	3840	4564	5468	6064	6940	7688	8052	8428	8432	8340	8048	7480	6972	6148	5308	4336	3584	2932	2436	2200	1996	1972	2020	2236	2460	2676	3056	3252	3504	3712	4032	4112	4336	4704	4776	5088	5268	5372	5572	5532	5700	5712	5788	5644	5720	5684	5604	5404	5460	5284	5168	5148	4960	5104	5116	4896	5052	5080	5160	5224	5640	5536	5928	6016	6180	6636	6924	7264	7640	8100	8520	8948	9232	9744	10000	10548	10796	11644	11916	12364	12624	13124	13616	14056	14448	15032	15040	15512	15608	15760	16132	16408	16512	16448	16596	16896	16872	16956	17240	17196	16884	17180	16652	16860	16576	16352	16124	15912	15600	15404	15428	14896	14552	13996	13772	13376	13084	12436	12196	11860	11372	11276	10736	10424	9876	9600	9068	8876	8468	7812	7668	7408	7124	6640	6332	5968	5800	5508	5188	4988	4720	4508	4200	4128	3796	3648	3588	3308	3104	3028	2840	2736	2684	2544	2420	2396	2252	2100	2016	1948	1816	1784	1716	1664	1624	1600	1488	1436	1468	1384	1292	1240	1272	1220	1224	1144	1116	1116	1100	1104	1036
16	20	32	44	48	76	120	156	216	336	392	584	680	872	988	1144	1304	1484	1760	1936	2420	2748	3332	3892	4592	5348	5904	6772	7152	7776	8200	8408	8124	7936	7304	6684	6032	5200	4460	3588	3052	2508	2076	1944	1856	1832	1992	2124	2316	2488	2768	2988	3132	3436	3672	3868	4108	4392	4500	4696	4980	5052	5104	5216	5312	5388	5424	5356	5412	5548	5344	5264	5328	5100	5136	5120	4900	4868	4828	4832	4740	4860	4884	4868	5012	5084	5180	5216	5360	5632	5952	6192	6368	6552	6884	7208	7628	7680	8184	8460	8920	9196	9544	9760	10320	10800	10924	11632	11696	12176	12156	12800	13100	13284	13696	13712	14172	14380	14208	14348	14504	14676	14720	14940	14760	14620	14716	14628	14652	14308	14420	13896	13976	13676	13516	13236	13068	12600	12480	12016	11924	11548	11312	10704	10652	10256	9976	9624	9356	8968	8640	8308	7788	7640	7364	7068	6680	6436	6120	5892	5608	5324	5144	4948	4684	4352	4196	4120	3896	3636	3424	3324	3116	2984	2896	2712	2572	2396	2380	2336	2148	2000	1872	1916	1716	1700	1588	1552	1476	1480	1436	1356	1324	1208	1228	1184	1128	1116	1056	1036
24	40	64	100	200	300	420	596	680	812	976	1088	1292	1496	1628	1840	2144	2576	3072	3540	4368	4972	5900	6788	7380	7984	8372	8752	8576	8336	7988	7352	6676	5800	4916	4084	3376	2760	2320	2108	2064	2092	2196	2304	2560	2832	3072	3328	3660	3816	4180	4180	4668	4780	5096	5264	5436	5584	5712	5952	5932	6064	5956	5864	5876	6020	5968	5744	5620	5476	5460	5412	5204	5172	5188	5192	5072	5324	5240	5372	5356	5584	5816	6184	6208	6516	6912	7336	7712	8016	8256	8644	9104	9400	9808	10048	10488	11124	11392	11820	12052	12608	12728	12928	13296	13736	13800	13976	14292	14404	14684	14588	14808	14780	14872	14852	14728	14676	14540	14364	14324	14120	14052	13656	13612	13468	12828	12752	12488	12372	11636	11508	11248	10816	10456	10144	10100	9388	9240	8984	8512	8248	7948	7644	7408	7132	6900	6456	6300	5940	5688	5440	5376	5092	4728	4564	4292	4040	3836	3728	3588	3300	3276	2972	2940	2732	2728	2512	2396	2248	2116	2136	2020	1944	1840	1724	1612	1580	1500	1532	1416	1344	1280	1212	1252	1132	1160	1012	1036	988	948	1000	940	860	900	852	792	744	784	732
44	88	72	112	180	248	336	444	568	648	868	1008	1168	1436	1588	1984	2256	2748	3272	3984	4696	5332	6516	7172	8064	8656	9172	9456	9484	9228	8848	8176	7244	6392	5344	4476	3632	3064	2588	2192	2160	2080	2276	2460	2568	2896	3168	3428	3676	3968	4300	4556	4724	5012	5280	5504	5700	5872	6160	6240	6176	6444	6472	6560	6520	6604	6388	6192	6224	6016	5980	5900	5752	5644	5740	5536	5540	5424	5372	5584	5580	5688	5792	6108	6148	6292	6848	7088	7436	7580	8100	8400	8688	8992	9460	9712	10504	10544	11068	11248	11844	11980	12480	12904	13172	13828	13864	14140	14444	14620	14724	15300	14948	15420	15544	15260	15544	15688	15784	15580	15616	15464	15280	15124	15076	14776	14560	14540	14176	13752	13832	13340	13120	12568	12444	12236	11788	11444	11204	10664	10452	10068	9628	9504	9148	8860	8428	8108	7756	7300	7244	6908	6724	6396	6164	5876	5508	5196	4984	4844	4420	4476	4072	4012	3812	3592	3408	3288	3064	2848	2816	2680	2620	2452	2320	2272	2188	1996	1920	1868	1732	1656	1644	1520	1436	1396	1308	1292	1292	1124	1136	1104	1068	988	968	968	916	888	840	828
24	48	48	72	92	156	212	304	384	512	620	780	948	1136	1312	1612	2032	2324	2856	3348	3956	4780	5544	6256	6808	7524	7776	8328	8408	8324	7980	7528	6968	6124	5280	4420	3788	3072	2556	2116	1944	1836	1864	2052	2216	2452	2680	2908	3192	3276	3640	3908	4208	4272	4672	4792	5084	5060	5332	5404	5660	5756	5816	5960	5780	5876	5756	5764	5724	5724	5488	5428	5348	5436	5332	5332	5204	5224	5204	5348	5416	5484	5552	5756	5788	5868	6244	6384	6768	7024	7468	7656	7932	8356	8884	9084	9360	9824	10192	10844	11172	11308	11760	12192	12520	12908	13156	13560	13904	14272	14676	14636	15084	15356	15408	15440	15576	15920	15784	16092	16044	15960	16008	15900	16112	16024	15724	15332	15152	15028	14936	14736	14492	14108	13496	13312	13028	12780	12256	11888	11712	11192	10912	10620	10236	9756	9596	9068	8604	8236	8168	7840	7424	7176	6788	6496	6144	5832	5616	5348	5120	4952	4564	4260	4136	3932	3680	3464	3376	3156	2932	2816	2760	2584	2516	2296	2172	2120	2012	1912	1836	1788	1640	1608	1612	1436	1404	1348	1256	1220	1224	1140	1084	1088	1040	1088	920	912	968	920
28	28	44	40	52	56	88	136	184	228	276	384	492	604	676	916	996	1220	1388	1700	1996	2472	2912	3368	3976	4828	5524	6248	6764	7320	7724	7844	7840	7712	7264	6732	6080	5360	4564	3764	3124	2580	2192	1904	1868	1844	1948	2048	2224	2408	2616	2844	3156	3400	3568	3900	4128	4284	4736	4816	4976	5096	5276	5520	5872	5680	5836	5944	5932	5852	5860	5876	5848	5780	5764	5484	5356	5516	5304	5244	5128	5380	5224	5308	5252	5368	5404	5572	5652	5816	6132	6180	6588	6772	7176	7404	7564	8092	8460	8884	9000	9428	9652	10140	10544	10608	11184	11732	11940	12124	12504	12592	13096	13056	13332	13644	13936	13792	14076	13768	14212	14084	14296	14148	14208	14212	13884	13932	13840	13704	13564	13304	13120	12904	12664	12488	12376	12008	11588	11352	11196	10764	10648	10452	9952	9700	9456	8996	8776	8424	8076	7740	7508	7152	7020	6668	6424	6152	5948	5728	5416	5200	4836	4776	4440	4304	4200	3908	3652	3700	3404	3264	3020	3064	2832	2740	2616	2464	2364	2208	2112	2088	1916	1948	1860	1656	1648	1632	1556	1396	1384	1368	1240	1204	1148	1072	1088	1060	988	1000
32	40	52	72	104	176	252	324	444	532	668	784	908	1164	1356	1648	1996	2276	2848	3284	3904	4612	5316	6156	6664	7260	7952	8008	8148	7916	7536	7056	6268	5516	4696	3912	3216	2636	2292	1988	1816	1872	2056	2156	2360	2544	2776	2964	3200	3516	3708	4044	4288	4344	4608	4900	5020	5232	5340	5356	5572	5648	5660	5556	5704	5448	5496	5492	5368	5264	5240	5316	5164	5032	4972	4988	5052	5000	5052	5080	5216	5444	5524	5708	5984	6352	6476	6756	7176	7400	7824	8092	8552	8916	9192	9472	9948	10396	10672	10932	11368	11664	11952	12084	12512	12432	13088	13080	13336	13480	13544	13516	13900	13788	13872	13896	13952	13856	13668	13668	13328	13404	13404	13008	12848	12464	12120	12300	12120	11664	11520	11108	10820	10580	10172	9896	9592	9120	8896	8480	8128	7668	7372	7156	6884	6480	6200	6016	5652	5436	5088	4928	4620	4432	4248	4108	3856	3516	3428	3236	3104	2784	2864	2596	2408	2296	2248	2156	2036	1904	1800	1664	1624	1540	1492	1440	1328	1240	1168	1132	1148	1128	1072	1016	928	964	960	828	864	844	856	808	788	756	672	696	684	668	616	608
28	40	68	80	132	164	256	332	424	584	720	824	1020	1220	1528	1868	2148	2692	3092	3724	4364	5216	6036	6736	7388	8072	8480	8760	8808	8460	8196	7508	6776	5884	4984	4164	3416	2856	2500	2076	2000	1960	2148	2272	2528	2692	2988	3228	3496	3636	4060	4144	4508	4612	4968	5100	5336	5436	5620	5780	5788	5896	5720	5792	5708	5696	5668	5588	5340	5368	5324	5160	5092	4996	5052	4988	4968	5036	5028	5000	5164	5368	5372	5644	5792	5940	6196	6488	6840	7100	7528	7900	8268	8652	8976	9112	9572	10032	10136	10660	11112	11348	11680	11996	12324	12520	12692	12932	13096	13444	13692	13664	13756	14024	14096	14260	14132	14088	14168	14156	13980	13724	13908	13656	13292	13308	13172	12776	12904	12752	12036	11912	11620	11448	11244	10716	10488	10052	9776	9380	8920	9048	8520	8148	7768	7536	7200	6888	6544	6356	5940	5744	5548	5088	4984	4700	4552	4364	4236	3908	3704	3436	3468	3204	3040	2928	2864	2516	2408	2364	2236	2176	2032	2028	1848	1904	1752	1688	1584	1452	1472	1412	1288	1208	1240	1144	1136	1172	1080	1076	996	984	1004	924	916	836	832	860	816	796
32	44	60	84	112	160	256	336	404	580	744	896	1012	1268	1556	1884	2384	2844	3380	4012	4784	5568	6352	7288	7756	8316	8552	8632	8460	8100	7296	6812	5748	4996	4080	3344	2772	2324	2052	1908	1992	2008	2268	2540	2688	2976	3272	3412	3764	3968	4444	4544	4680	4924	5188	5348	5436	5664	5776	5744	5808	5884	5860	5932	5756	5812	5676	5548	5484	5336	5248	5268	5096	5144	4968	5064	4980	5252	5156	5416	5360	5648	6016	6104	6280	6640	6912	7108	7532	7824	8184	8604	9000	9436	9852	10216	10560	11180	11488	11660	11832	12180	12528	12944	13260	13240	13628	13848	13932	14144	14120	14120	14316	14196	14152	14444	14004	14244	14036	13540	13868	13708	13520	13344	13136	12648	12480	12528	12024	11852	11412	11072	10828	10512	10208	9876	9636	9188	8752	8540	8308	8024	7640	7280	7020	6904	6464	6196	6056	5776	5452	5264	4884	4752	4500	4336	4184	3864	3732	3616	3372	3244	3044	2916	2780	2740	2524	2392	2236	2184	2052	1916	1864	1716	1708	1600	1556	1580	1440	1380	1400	1320	1260	1172	1204	1128	1064	1024	1020	1008	1052	956	904	880	876	820	808	804	792	780
